,amount,brick_size,num_created_bars,price,rebuilding_status,renko_price
2020-07-11 18:53:00,0.0,4.721359549995846e-05,0.0,0.0177,1,0.01766656314599951
2020-07-11 18:54:00,0.0,4.721359549995846e-05,4.9,0.0179,0,0.017855417527999348
2020-07-11 18:55:00,0.0,0.00014533061247283403,0.0,0.0177,1,0.017581322449891343
2020-07-11 18:56:00,0.0,0.00014533061247283403,2.2,0.0179,0,0.017871983674837014
2020-07-11 18:59:00,0.0,4.721359549995846e-05,0.0,0.0176,1,0.01761934955049955
2020-07-11 19:00:00,0.0,4.721359549995846e-05,7.1,0.018000000000000002,0,0.017997058314499225
2020-07-11 19:01:00,0.0,5.203043931393421e-05,0.0,0.0175,1,0.017512182635883604
2020-07-11 19:02:00,0.0,5.203043931393421e-05,8.4,0.018000000000000002,0,0.01798045658970901
2020-07-11 19:07:00,0.0,5.133945173243429e-05,0.0,0.0174,1,0.0174
2020-07-11 19:08:00,0.0,5.133945173243429e-05,8.7,0.0179,0,0.0178620550655919
2020-07-11 19:09:00,0.0,5.133945173243429e-05,0.7,0.0179,0,0.0178620550655919
2020-07-11 19:10:00,117318.43575418994,5.133945173243429e-05,0.7,0.0179,0,0.0178620550655919
2020-07-11 19:11:00,117318.43575418994,5.133945173243429e-05,0.0,0.0174,1,0.0174
2020-07-11 19:13:00,117318.43575418994,5.133945173243429e-05,0.0,0.0174,1,0.0174
2020-07-11 19:14:00,117318.43575418994,5.133945173243429e-05,8.7,0.0179,0,0.0178620550655919
2020-07-11 19:17:00,117318.43575418994,5.2817772504939004e-05,0.0,0.0176,1,0.01766972440753457
2020-07-11 19:18:00,117318.43575418994,5.2817772504939004e-05,4.4,0.0179,0,0.017880995497554324
2020-07-11 19:19:00,117318.43575418994,5.2817772504939004e-05,0.0,0.0178,0,0.017880995497554324
2020-07-11 19:19:00,117318.43575418994,5.154829705871229e-05,0.0,0.0176,1,0.017657741485293563
