,performance
2020-07-11 21:04:00,2.5853471445152154
2020-07-11 21:05:00,2.5853471445152154
2020-07-11 21:06:00,2.5853471445152154
2020-07-11 21:07:00,2.5853471445152154
2020-07-11 21:08:00,2.030025519097789
2020-07-11 21:09:00,2.5853471445152154
2020-07-11 21:10:00,2.5853471445152154
2020-07-11 21:11:00,2.030025519097789
2020-07-11 21:12:00,1.4747038936803625
2020-07-11 21:13:00,1.3223189194319973
2020-07-11 21:14:00,1.3223189194319973
2020-07-11 21:15:00,1.1702847798933824
2020-07-11 21:16:00,1.1702847798933824
2020-07-11 21:17:00,1.1702847798933824
2020-07-11 21:18:00,1.1702847798933824
2020-07-11 21:19:00,0.6166109060167013
2020-07-11 21:20:00,0.6166109060167013
2020-07-11 21:21:00,0.6166109060167013
2020-07-11 21:22:00,0.6166109060167013
2020-07-11 21:23:00,0.6166109060167013
2020-07-11 21:24:00,0.6166109060167013
2020-07-11 21:25:00,0.6166109060167013
2020-07-11 21:26:00,0.06293703214002022
2020-07-11 21:27:00,0.4655083227708801
2020-07-11 21:28:00,0.4655083227708801
2020-07-11 21:29:00,0.3147598275325736
2020-07-11 21:30:00,0.3147598275325736
2020-07-11 21:31:00,0.8667681150203332
2020-07-11 21:32:00,0.8667681150203332
2020-07-11 21:33:00,1.4187764025080711
2020-07-11 21:34:00,0.8667681150203332
2020-07-11 21:35:00,0.8667681150203332
2020-07-11 21:36:00,1.4187764025080711
2020-07-11 21:37:00,1.4187764025080711
2020-07-11 21:38:00,0.8667681150203332
2020-07-11 21:39:00,0.8667681150203332
2020-07-11 22:14:00,1.4187764025080711
2020-07-11 22:29:00,1.9707846899958303
2020-07-11 23:12:00,2.5227929774835687
2020-07-11 23:13:00,2.5227929774835687
2020-07-11 23:24:00,3.6268095524590866
2020-07-11 23:25:00,3.6268095524590866
2020-07-11 23:26:00,3.6268095524590866
2020-07-11 23:26:00+00:00,3.626809552459087
2020-07-11 23:27:00+00:00,3.0748012649713274
